Axis,Direction,Gene_query_size,Source,Term_ID,Term_name,Intersection_size,Term_size,Precision,Recall,Adjusted_p_value,Significant
P_axis,up,200,GO:BP,GO:0080040,positive regulation of cellular response to phosphate starvation,2,3,0.0146,0.6667,0.003408034213857979,True
P_axis,up,200,KEGG,KEGG:01100,Metabolic pathways,26,2337,0.7647,0.0111,0.004599774347050086,True
P_axis,up,200,GO:BP,GO:0032109,positive regulation of response to nutrient levels,2,4,0.0146,0.5,0.006479550036214116,True
P_axis,up,200,GO:BP,GO:0055085,transmembrane transport,19,1239,0.1387,0.0153,0.006825036388892241,True
P_axis,up,200,GO:BP,GO:0070887,cellular response to chemical stimulus,23,1669,0.1679,0.0138,0.006825036388892241,True
P_axis,up,200,GO:BP,GO:0006979,response to oxidative stress,10,426,0.073,0.0235,0.008732620741711003,True
P_axis,up,200,GO:BP,GO:0015760,glucose-6-phosphate transport,2,5,0.0146,0.4,0.008763299783195318,True
P_axis,up,200,GO:BP,GO:0015712,hexose phosphate transport,2,5,0.0146,0.4,0.008763299783195318,True
P_axis,up,200,GO:BP,GO:0098542,defense response to other organism,17,1154,0.1241,0.0147,0.019316005395297025,True
P_axis,up,200,GO:BP,GO:0009620,response to fungus,12,664,0.0876,0.0181,0.02037327513169652,True
P_axis,up,200,GO:BP,GO:0042594,response to starvation,6,182,0.0438,0.033,0.02077754596947918,True
P_axis,up,200,GO:BP,GO:0015700,arsenite transport,2,8,0.0146,0.25,0.02110952282947548,True
P_axis,up,200,KEGG,KEGG:00940,Phenylpropanoid biosynthesis,5,128,0.1471,0.0391,0.022890053877195504,True
P_axis,up,200,GO:BP,GO:0033554,cellular response to stress,16,1085,0.1168,0.0147,0.023558079924842098,True
P_axis,up,200,GO:BP,GO:0009808,lignin metabolic process,4,75,0.0292,0.0533,0.023558079924842098,True
P_axis,up,200,GO:BP,GO:0009628,response to abiotic stimulus,25,2131,0.1825,0.0117,0.027169857691317197,True
P_axis,up,200,GO:BP,GO:0009267,cellular response to starvation,5,143,0.0365,0.035,0.036442064611159126,True
P_axis,up,200,KEGG,KEGG:00750,Vitamin B6 metabolism,2,15,0.0588,0.1333,0.03781868016866628,True
P_axis,up,200,KEGG,KEGG:01110,Biosynthesis of secondary metabolites,16,1283,0.4706,0.0125,0.03781868016866628,True
P_axis,up,200,GO:BP,GO:0042744,hydrogen peroxide catabolic process,4,92,0.0292,0.0435,0.045755185477245684,True
P_axis,down,200,GO:BP,GO:0043270,positive regulation of monoatomic ion transport,3,9,0.0234,0.3333,0.009245273273531914,True
P_axis,down,200,GO:BP,GO:0034219,carbohydrate transmembrane transport,5,66,0.0391,0.0758,0.012239043121770835,True
P_axis,down,200,GO:BP,GO:0034758,positive regulation of iron ion transport,2,3,0.0156,0.6667,0.018081521982495977,True
P_axis,down,200,GO:BP,GO:0051050,positive regulation of transport,3,17,0.0234,0.1765,0.018081521982495977,True
P_axis,down,200,GO:BP,GO:0043269,regulation of monoatomic ion transport,4,51,0.0312,0.0784,0.02602418581472863,True
N_axis,up,200,GO:BP,GO:0010167,response to nitrate,9,28,0.0608,0.3214,9.751036825601623e-11,True
N_axis,up,200,GO:BP,GO:1901698,response to nitrogen compound,11,119,0.0743,0.0924,1.7813241263647933e-07,True
N_axis,up,200,GO:BP,GO:0042221,response to chemical,47,2940,0.3176,0.016,1.452800776238194e-06,True
N_axis,up,200,KEGG,KEGG:00910,Nitrogen metabolism,6,43,0.15,0.1395,2.361224391008198e-05,True
N_axis,up,200,GO:BP,GO:0097164,ammonium ion metabolic process,6,47,0.0405,0.1277,7.581161526693314e-05,True
N_axis,up,200,GO:BP,GO:0036294,cellular response to decreased oxygen levels,11,241,0.0743,0.0456,7.581161526693314e-05,True
N_axis,up,200,GO:BP,GO:0071456,cellular response to hypoxia,11,239,0.0743,0.046,7.581161526693314e-05,True
N_axis,up,200,GO:BP,GO:0071453,cellular response to oxygen levels,11,241,0.0743,0.0456,7.581161526693314e-05,True
N_axis,up,200,GO:BP,GO:0036293,response to decreased oxygen levels,11,270,0.0743,0.0407,0.00013886294069866503,True
N_axis,up,200,GO:BP,GO:2001141,regulation of RNA biosynthetic process,34,2161,0.2297,0.0157,0.00013886294069866503,True
N_axis,up,200,GO:BP,GO:0070482,response to oxygen levels,11,271,0.0743,0.0406,0.00013886294069866503,True
N_axis,up,200,GO:BP,GO:0001666,response to hypoxia,11,266,0.0743,0.0414,0.00013886294069866503,True
