gene_id,log2FoldChange,padj
Os07g0588000,0.856633353,1.46e-12
Os01g0222600,-1.513967171,1.72e-12
Os03g0746500,1.290304511,1.8e-12
Os04g0496800,0.847567726,1.9e-12
Os08g0375400,3.068337386,1.91e-12
Os07g0142300,1.746773342,1.96e-12
Os01g0647200,-2.628831234,2.57e-12
Os08g0280150,5.099006083,3.11e-12
Os10g0195250,-3.395809991,3.48e-12
Os02g0148000,-2.789421123,3.8e-12
Os03g0150800,1.79286138,5.18e-12
Os04g0630800,-1.054422476,5.6e-12
Os11g0459600,-2.134910739,6.54e-12
Os05g0186300,1.889127534,6.64e-12
Os01g0495701,-3.915935904,6.69e-12
Os02g0226200,2.115349592,7.43e-12
Os07g0258400,-2.876738161,8.43e-12
Os11g0593000,1.852765787,8.88e-12
Os06g0325200,9.193294037,1.09e-11
Os02g0302200,1.391081499,1.09e-11
Os09g0339601,1.344938571,1.29e-11
Os10g0210500,-2.052023213,1.3e-11
Os03g0238800,1.068390389,1.3e-11
Os06g0659200,1.490999347,1.32e-11
Os02g0115700,1.450473405,1.34e-11
Os05g0357200,-0.900705583,1.45e-11
Os03g0243900,1.113525135,1.58e-11
Os05g0477900,1.758238771,1.71e-11
Os03g0267700,1.163674024,1.77e-11
Os01g0257100,0.900401434,2.21e-11
Os01g0650100,2.850260028,2.28e-11
Os07g0102400,-1.211882139,2.4e-11
Os06g0697000,1.969685328,2.44e-11
Os08g0433500,1.13950136,2.44e-11
Os02g0718600,1.911178482,2.5e-11
Os07g0187400,1.380845121,2.65e-11
Os01g0286000,1.404827687,2.75e-11
Os03g0389700,1.529241738,2.76e-11
Os06g0180666,1.171661722,2.86e-11
Os12g0144000,0.858295172,2.86e-11
Os07g0663800,-0.970018043,2.95e-11
Os06g0159600,-1.136024817,3.12e-11
Os02g0541325,-1.285991364,3.3e-11
Os07g0683600,1.864335172,3.3e-11
Os01g0130000,-1.028916064,3.36e-11
Os01g0110050,3.194553498,3.36e-11
Os04g0598000,1.247152204,5.68e-11
Os05g0114000,1.851565431,5.71e-11
Os10g0370800,-1.012017781,5.86e-11
Os03g0379300,-1.525276182,7.59e-11
Os08g0151900,3.866297266,8.14e-11
Os03g0661600,-1.159632424,8.67e-11
Os12g0476200,2.017331149,1.08e-10
Os01g0901800,0.953246107,1.16e-10
Os06g0348800,-2.061895742,1.21e-10
Os01g0975300,-0.852671369,1.32e-10
Os03g0167000,-2.792996761,1.39e-10
Os12g0108000,1.102779715,1.61e-10
Os10g0532200,1.379266,1.63e-10
Os11g0540100,-0.746257196,1.7e-10
Os03g0180100,0.926480183,1.85e-10
Os01g0281100,-1.177974102,1.85e-10
Os09g0327400,0.853420933,1.89e-10
Os01g0915900,-0.793549217,2.08e-10
Os08g0477100,-1.330545417,2.16e-10
Os07g0142500,1.559415444,2.74e-10
