gene_id,log2FoldChange,padj
Os01g0369700,1.703783614,2.55e-17
Os05g0591900,-1.405261578,3.11e-17
Os04g0683700,-1.757231167,3.81e-17
Os04g0115700,-2.575257643,4.1e-17
Os02g0730300,0.902175594,4.61e-17
Os06g0192400,1.627016067,5.06e-17
Os01g0615100,-2.058197801,5.06e-17
Os03g0439700,-2.915322717,5.31e-17
Os01g0257100,1.220572816,5.72e-17
Os06g0525200,1.477994094,7.04e-17
Os07g0673900,-1.562199312,7.17e-17
Os08g0140500,-2.174774511,7.27e-17
Os01g0920500,1.131716632,7.3e-17
Os06g0110000,-1.58932105,7.41e-17
Os08g0189200,-1.029893049,7.67e-17
Os03g0700400,-1.371435154,7.82e-17
Os05g0179300,1.541318903,7.86e-17
Os10g0493600,-1.1269092,9.65e-17
Os10g0140200,-1.384719405,1.06e-16
Os08g0503000,-2.191795397,1.17e-16
Os10g0127900,-3.006471277,1.19e-16
Os06g0654900,-1.648490416,1.25e-16
Os07g0126500,-2.038240464,1.36e-16
Os01g0717700,1.268871381,1.49e-16
Os08g0369800,3.422685962,1.57e-16
Os09g0346500,-2.786394999,1.71e-16
Os03g0664400,2.813423971,1.89e-16
Os03g0215000,0.869981358,1.94e-16
Os05g0134400,1.601067791,1.94e-16
Os02g0650300,-6.984309627,1.95e-16
Os01g0823200,2.137294754,2.51e-16
Os06g0185400,2.25461452,2.7e-16
Os08g0447000,1.363594779,2.86e-16
Os08g0470200,1.471589765,3.37e-16
Os11g0184900,-1.47620354,3.48e-16
Os01g0127200,3.303203989,4.31e-16
Os02g0247800,1.423711111,4.31e-16
Os06g0102100,1.654762569,5.17e-16
Os07g0178700,-5.630224191,5.19e-16
Os11g0170900,-3.726116997,5.58e-16
Os12g0548700,-2.19105972,6e-16
Os12g0484600,2.151038227,6.1e-16
Os01g0882800,2.482167411,6.14e-16
Os02g0178100,-1.166752118,6.58e-16
Os02g0678200,-3.856986132,6.74e-16
Os12g0451300,2.705841929,7.65e-16
Os07g0537900,-1.430076607,7.69e-16
Os02g0332800,-1.439740724,7.69e-16
Os11g0118400,-2.992184259,8.82e-16
Os02g0166800,2.391628039,1.09e-15
Os05g0586600,-2.308499316,1.18e-15
Os03g0170900,1.933095254,1.45e-15
Os06g0700300,1.331820072,1.45e-15
Os04g0629700,0.976769829,1.47e-15
Os12g0610800,2.228645721,1.6e-15
Os08g0373000,1.169924612,1.64e-15
Os10g0470700,1.417764482,1.95e-15
Os04g0408600,1.753109542,2.12e-15
Os11g0543500,-1.63596894,2.15e-15
Os11g0155100,1.332972486,2.39e-15
Os03g0323200,-2.613040209,3.05e-15
Os03g0142600,-2.652039987,3.22e-15
Os01g0854800,2.439313356,3.27e-15
Os04g0243700,1.561634409,3.31e-15
Os05g0441500,-1.738466808,3.49e-15
Os09g0426000,-1.283081355,3.6e-15
Os02g0585650,-3.009767722,3.81e-15
Os01g0183600,1.43031911,3.82e-15
Os03g0294100,1.916762418,3.94e-15
Os02g0718600,2.459599883,3.97e-15
Os11g0637501,-1.090931977,4.04e-15
Os04g0521100,-1.933122632,4.09e-15
Os01g0850000,2.527130259,4.29e-15
Os01g0235100,-2.27219889,4.33e-15
Os02g0613000,-1.375505203,4.38e-15
Os02g0775400,1.041871625,4.41e-15
Os12g0450300,3.431068056,4.48e-15
Os04g0399300,-1.417900804,5.12e-15
Os05g0244700,-2.650708958,5.13e-15
Os05g0491200,-1.495743514,5.18e-15
Os07g0605400,1.632534309,6.01e-15
Os11g0592000,-2.21604435,6.13e-15
Os07g0142500,2.169091463,7.29e-15
Os10g0506900,-1.744512709,7.34e-15
Os04g0567200,-1.996390853,7.39e-15
Os06g0604600,1.073427781,7.39e-15
Os03g0171900,1.615683025,7.57e-15
Os03g0145900,1.517073791,8.01e-15
Os12g0630600,1.781258216,8.14e-15
Os02g0744900,-1.999365058,9.36e-15
Os02g0136900,1.829432996,9.6e-15
Os12g0437800,-2.000356908,9.75e-15
Os01g0853700,1.1162059,9.91e-15
Os01g0924933,2.656024884,1.05e-14
Os03g0694500,1.898574373,1.06e-14
Os01g0974400,1.667599218,1.13e-14
Os05g0136900,1.53430596,1.14e-14
Os06g0131700,1.529044813,1.19e-14
Os12g0625200,-1.325922948,1.21e-14
Os02g0663900,1.852214284,1.24e-14
Os10g0208500,-1.447340898,1.28e-14
Os09g0494600,-1.868972083,1.41e-14
Os03g0734100,-1.614099476,1.41e-14
Os07g0101000,1.205886613,1.41e-14
Os12g0292400,-2.980344599,1.5e-14
Os01g0804400,-1.734222689,1.53e-14
Os04g0550866,-1.767785184,1.56e-14
Os01g0260100,1.271063169,1.6e-14
Os07g0678300,1.243394246,1.61e-14
Os06g0706100,1.839516108,1.7e-14
Os04g0321700,1.89187898,1.84e-14
Os11g0700900,-4.470559477,2.04e-14
Os01g0775400,1.176158436,2.28e-14
Os01g0935200,1.385778757,2.35e-14
Os11g0118300,-2.592488544,2.52e-14
Os12g0236225,-9.984362314,2.53e-14
Os04g0418800,-1.10405263,2.72e-14
Os02g0816600,-1.46549526,2.85e-14
Os11g0267000,-2.015717672,3.15e-14
Os01g0546400,1.795267079,3.2e-14
Os02g0587300,4.561879761,3.35e-14
Os01g0563000,1.414729414,3.55e-14
Os01g0210500,-1.383307621,3.76e-14
Os06g0539500,2.514786927,4.23e-14
Os09g0294000,-1.370702572,4.28e-14
Os02g0686800,2.55805811,4.77e-14
Os05g0355400,-2.292174681,4.77e-14
Os03g0294032,1.897606425,4.79e-14
Os10g0501500,-0.997757703,5.12e-14
Os07g0643800,2.603316635,5.36e-14
Os10g0100700,-5.478952053,5.36e-14
Os11g0668650,-1.176531727,5.87e-14
Os01g0855000,1.779330658,5.98e-14
Os02g0668500,-2.371387809,6.15e-14
Os01g0938100,-2.239558023,6.19e-14
Os03g0167000,-2.81962395,6.53e-14
